asset_k,offices,netinc_k,dep_k
263059,6,239,221684
509650,6,1974,393758
212581,4,705,176573
241081,4,998,204562
2933056,34,12266,2317148
2203614,32,5754,1890688
334787,7,775,301581
84575,1,77,70975
145493,1,130,123806
73232,2,96,66833
47037,1,161,41151
38322,1,136,26926
159724,3,176,133330
507010,7,1852,448951
489249,6,1663,408837
293411,4,1223,248766
28689,1,-67,23629
182910,3,708,147545
232530,2,711,212260
175037,2,381,159377
267113,3,1197,227009
146440,3,739,117570
244276,3,416,219150
4391138,51,14296,3671307
24001,1,145,16109
391544,9,780,346438
471002,4,1906,429334
782851,1,2223,557388
105200,2,489,92226
235431,4,1359,209683
330978,3,1163,307666
286018,1,1055,250263
473457,7,1416,425996
343385,4,1673,284754
111995,4,472,102506
146163,1,378,128731
110591,4,366,98183
78786,1,337,69365
53476,1,202,45374
296243,4,1210,255910
183686,5,409,168524
103054,4,494,93002
39845,1,244,34228
86563,1,267,71020
226753,2,749,165500
936640,6,5889,812727
310003,3,925,266977
342755,8,831,286713
179210,3,446,153585
120879,3,690,113047
6047838,28,19458,5337098
206073,2,699,187530
74118,2,74,65763
853794,11,2905,792466
329652,5,1311,285508
1303870,16,6188,1173949
250512,5,927,210357
134933,1,529,115052
2302796,36,11756,2018333
1121513,15,2643,969864
134944,2,332,123388
274617,5,807,244757
185762,2,189,159652
63861,2,78,51077
121297,3,463,108528
761914,6,3918,645958
182477,3,646,161189
56919,1,361,50567
2790564,32,7892,2410464
824180,8,3516,644021
429931,4,1303,380755
173633,3,498,146621
537110,5,1425,451824
350631,8,931,303517
6539611,60,19288,5450631
112280,3,209,86992
323117,5,766,281562
77512,3,236,67589
255391,3,619,225323
197597,4,1074,176592
130980,2,499,118609
286643,6,2340,244360
134571,5,551,113905
53114,1,259,43515
644563,11,1817,547503
53758,1,-100,38181
215111,7,772,183031
449197,5,1782,397985
279419,3,1265,235407
123935,4,286,104415
195567,1,619,165378
217843,3,879,192391
189551,5,359,167278
133585,3,199,112891
85820,1,301,76177
199910,3,667,179228
227919,5,1257,179281
374604,5,229,329825
221046,4,1179,200494
250034,6,350,217116
343895,7,1199,307285
412536,5,1404,363526
241415,3,1143,204179
53601,1,213,49356
48306,1,64,42156
153702,3,585,111631
3034068,18,9961,2521420
303255,6,551,269681
258908,4,1675,235398
246896,2,342,218258
1217421,12,6302,1082491
497269,15,1420,449846
1618873,30,4881,1225471
1842799,19,6479,1546733
139381,4,467,127587
138119,5,417,128904
9115395,72,32513,8132496
25387,1,52,23499
137631,3,449,115951
346649,3,902,310923
586729,9,2775,486369
922392,4,4759,819783
74745,2,403,67197
602083,10,954,562715
1994473,16,6044,1684618
155435,3,431,139930
181469,4,1194,157997
1004066,14,3241,846111
1328042,3,7624,1111975
1259608,14,5006,1115949
52429,1,74,48515
39236,3,-33,30217
381174,4,2354,347118
407529,1,951,372793
944969,15,7122,700767
85884,3,243,73564
171415,3,478,123845
304070,4,1181,201108
161022,3,613,138126
30279,1,123,26341
143158,5,341,133100
40900,2,56,36266
15141,2,-132,13477
67060,1,209,58363
106654,1,356,94176
502539,6,1941,445680
333386,2,1382,282278
25498,1,139,22362
38414,2,-68,33837
336492,8,1247,287249
256234,4,902,231306
304921,4,787,275581
237943,6,977,212607
185141,4,335,165833
107366,1,401,89135
350144,5,1468,257764
207717,6,499,186739
113469,1,719,95725
21884,1,17,20252
172363,3,223,143255
229730,5,899,203634
648266,11,2747,581164
311768,3,765,276749
370983,5,1175,298477
562158,3,1251,470550
107678,2,202,95051
386468,9,1247,333348
306274,2,1505,260771
126405,2,500,105504
175122,3,607,147582
199575,3,1241,152144
141345,6,423,124250
488233,9,2754,431104
477816,12,1700,402092
974587,10,3267,838301
94511,1,379,79496
257125,2,1163,231643
151299,3,619,138600
209906,3,463,179838
74838,2,329,62162
148610,3,536,125072
767465,6,2092,668623
232611,3,770,205778
88016,1,0,81621
198105,3,751,168640
47585,1,232,39880
152208,3,427,128534
3296457,7,17429,2518510
282475,3,1704,250114
118152,2,354,102186
74595,1,214,59636
702579,6,2523,626610
406516,6,1692,370603
226584,4,981,195001
139503,4,344,115804
169018,1,525,142392
7690114,19,16095,6835088
2460076,49,6765,2016190
495683,10,1320,389028
9939635,76,36500,8220382
81373,1,98,70191
444973,10,963,338246
2242998,20,6732,1957939
123813,3,397,97224
1038922,4,-3880,967344
155097,3,369,137144
139652,3,495,131146
702151,11,2849,634719
162747,1,747,146145
511423,8,2200,370088
222207,2,837,193050
130666,1,451,112245
1675596,19,5464,1443770
205380,5,1099,156945
267419,5,1388,233595
217586,4,895,176450
235872,5,1761,162981
247341,2,1237,202844
79099,2,354,66081
418889,5,1844,365675
356740,5,2054,322657
30318,1,123,24890
580357,3,1194,523015
358113,6,571,304828
359114,5,1069,337877
136216,4,294,115767
271268,8,527,222320
90179,2,351,81269
55018,1,173,45276
496789,4,944,351772
90162,1,273,65700
119636,3,229,101722
416580,4,4103,358247
597210,7,1044,545799
146148,2,547,132761
332902,5,815,283818
114578,2,263,107023
356190,6,762,325987
44436,1,326,38610
325961,5,636,290387
202502,3,1196,167368
287990,8,282,265528
562243,9,1689,506639
1194073,11,6323,1049119
153900,3,392,141609
208742,2,1243,177711
125530,5,196,112449
548080,5,4882,504662
84497,2,185,63013
250212,1,724,217806
530478,11,2237,408120
503362,5,2233,443298
1360927,17,3748,1147826
706452,10,1292,620658
4498624,55,19110,4028022
296633,5,1303,251519
447230,5,986,392833
1313993,9,6965,1175292
369256,5,2385,319186
61216,2,310,52926
522223,12,10829,466497
330958,4,1203,295310
552169,1,1404,495292
1369574,17,4412,1183938
316954,2,160,259041
7912763,106,31723,6338024
631656,15,2771,487669
259927,3,709,221406
637644,10,2385,530940
289711,7,-327,265231
475359,1,1954,387184
899766,10,2152,781816
113986,2,219,90072
794726,6,3820,693457
138098,1,847,115409
3660167,41,13010,3134792
193666,4,842,162119
329462,6,700,279904
216935,3,21,201900
1474470,12,2079,1094513
237595,4,900,203615
164609,6,494,140700
76422,1,149,67163
112272,1,231,97817
139675,1,354,110675
283631,2,1217,248482
284183,6,1755,250267
361070,6,1432,323909
68328,2,138,61290
357103,3,1447,308516
283562,2,1332,225204
88937,2,244,80149
17215,1,17,15623
192418,6,763,166002
728514,9,2700,575002
824403,9,805,678701
40733,1,117,34681
233797,6,233,208249
313429,15,171,290314
682964,9,1498,572734
485596,6,1228,379039
167505,6,712,151715
214421,2,328,184647
133365,4,238,110360
136763,4,385,111388
899898,13,3196,739950
110042,1,337,96603
439816,4,1451,375769
1737007,15,4032,1422758
383670,8,893,353338
275191,6,1056,212173
246422,3,599,216457
293294,5,1021,259504
196247,4,869,173916
227230,4,1351,203750
1091126,13,3126,934376
316245,8,469,272201
53768,2,96,45079
405803,3,1465,341324
279545,4,905,246042
581199,10,2155,527510
941216,13,2313,788671
184375,2,529,165609
2859364,23,7923,2577146
47296,1,129,36847
187054,4,743,158550
189893,2,916,168158
335957,1,3076,288299
138211,3,981,114164
349004,6,934,311220
179894,4,638,169451
635249,4,1302,559341
1329168,11,5828,1178335
642782,8,1234,586446
396869,7,1227,343134
4672493,62,15703,3874745
296056,5,1330,261421
1490109,4,-5128,1349098
218140,4,833,196796
20729,4,45,16876
209443,2,379,181312
1707118,23,6843,1525644
35336,2,66,31839
70137,1,98,62411
518990,4,2814,427026
50547,1,51,44151
147515,3,257,127253
3798501,19,-2460,2568130
111391,3,515,82574
127707,4,345,110091
58852,1,121,53328
414467,3,1725,365547
197405,4,442,167196
312925,5,480,256348
570546,5,1684,486197
191218,2,768,160218
650168,14,1969,590317
345735,4,870,319404
960772,24,354,658548
1528973,26,2586,1345964
142569,1,298,120205
537815,6,1990,487386
289059,6,1388,258321
557276,9,2711,422828
134676,2,669,123707
539781,6,1617,456778
53161,1,28,49549
144093,3,225,121831
6691682,76,10547,5937676
249214,5,1070,228604
156453,3,899,138746
662822,4,2876,558058
201688,5,791,125621
57422,1,153,49660
361032,15,1077,320883
471473,6,1570,423056
718641,3,3098,644628
488993,8,797,414210
143644,2,464,134349
19800,1,28,17401
587967,7,1713,455615
109261,1,763,89216
1336572,16,5065,1091923
478405,6,955,416089
337880,3,670,293189
153880,1,433,133400
735498,13,3746,556456
144667,1,396,126026
419823,6,2401,362417
512527,5,3176,433403
221020,3,834,193214
78061,1,168,55750
431719,3,1123,379658
361667,12,594,316167
152192,1,656,125280
3820112,13,9768,3506674
195874,2,404,174001
332915,3,1121,288540
92198,3,113,81179
112274,1,387,98395
