Priority rank,Archetype,Assets ($M),Offices,Est. net benefit / yr,ROI
1,Large community / regional banks,9939.6,76,"$3,404,182",572%
2,Large community / regional banks,9115.4,72,"$3,114,202",551%
3,Large community / regional banks,7912.8,106,"$2,691,912",519%
4,Large community / regional banks,7690.1,19,"$2,613,851",512%
5,Large community / regional banks,6691.7,76,"$2,264,330",483%
6,Large community / regional banks,6539.6,60,"$2,211,177",478%
7,Large community / regional banks,6047.8,28,"$2,039,460",462%
8,Large community / regional banks,4672.5,62,"$1,560,827",413%
9,Large community / regional banks,4498.6,55,"$1,500,520",406%
10,Large community / regional banks,4391.1,51,"$1,463,265",401%
11,Large community / regional banks,3820.1,13,"$1,265,713",378%
12,Large community / regional banks,3798.5,19,"$1,258,250",377%
13,Large community / regional banks,3660.2,41,"$1,210,502",370%
14,Large community / regional banks,3296.5,7,"$1,085,183",354%
15,Large community / regional banks,3034.1,18,"$994,994",341%
16,Large community / regional banks,2933.1,34,"$960,329",336%
17,Large community / regional banks,2859.4,23,"$935,060",332%
18,Large community / regional banks,2790.6,32,"$911,484",328%
19,Large community / regional banks,2460.1,49,"$798,473",310%
20,Large community / regional banks,2302.8,36,"$744,843",301%
21,Large community / regional banks,2243.0,20,"$724,482",297%
22,Large community / regional banks,2203.6,32,"$711,080",295%
23,Large community / regional banks,1994.5,16,"$640,043",282%
24,Large community / regional banks,1842.8,19,"$588,673",272%
25,Large community / regional banks,1737.0,15,"$552,925",265%
26,Large community / regional banks,1707.1,23,"$542,839",263%
27,Large community / regional banks,1675.6,19,"$532,208",260%
28,Large community / regional banks,1618.9,30,"$513,095",256%
29,Large community / regional banks,1529.0,26,"$482,853",250%
30,Large community / regional banks,1490.1,4,"$469,798",247%
31,Large community / regional banks,1474.5,12,"$464,549",245%
32,Large community / regional banks,1369.6,17,"$429,392",237%
33,Large community / regional banks,1360.9,17,"$426,499",236%
34,Large community / regional banks,1336.6,16,"$418,352",234%
35,Large community / regional banks,1329.2,11,"$415,877",234%
36,Mid-size multi-branch banks,1328.0,3,"$415,500",234%
