priority_rank,name,state,city,tier,assets_musd,offices,est_net_benefit,net_low,net_high,roi_pct,log_assets,log_offices,cluster,segment,segment_rank
1,Tri Counties Bank,CA,Chico,Large / regional,9946.4,76.0,3406580.6099914643,1584242.322886465,5228918.897096464,572.3037971134625,6.997665920641192,4.343805421853684,1,A — Target first,1
2,S&T Bank,PA,Indiana,Large / regional,9939.6,76.0,3404182.3407742544,1583092.1142492543,5225272.567299254,572.136023806802,6.997368907406551,4.343805421853684,1,A — Target first,1
3,EagleBank,MD,Bethesda,Large / regional,9902.6,14.0,3391133.861125876,1576834.3153608765,5205433.406890876,571.2219604284412,6.995749236759633,2.70805020110221,1,A — Target first,1
5,International Bank of Commerce,TX,Laredo,Large / regional,9892.9,81.0,3387732.459386033,1575203.1369510335,5200261.781821033,570.9833413413886,6.995323619138293,4.406719247264253,1,A — Target first,1
6,Byline Bank,IL,Chicago,Large / regional,9886.8,55.0,3385578.0082230056,1574169.9615880055,5196986.054858007,570.8321254662563,6.995055748905316,4.02535169073515,1,A — Target first,1
7,"Amerant Bank, National Association",FL,Coral Gables,Large / regional,9880.8,24.0,3383465.118321035,1573156.728116035,5193773.508526035,570.6837706331168,6.994792108709092,3.2188758248682006,1,A — Target first,1
8,Capitol Federal Savings Bank,KS,Topeka,Large / regional,9843.4,46.0,3370291.889617133,1566839.771142133,5173744.008092133,569.7575680403185,6.993145133613592,3.8501476017100584,1,A — Target first,1
9,Peoples Bank,OH,Marietta,Large / regional,9637.9,135.0,3297977.785016981,1532170.669376981,5063784.90065698,564.6341292666717,6.983982415877464,4.912654885736052,1,A — Target first,1
12,Stock Yards Bank & Trust Company,KY,Louisville,Large / regional,9457.5,87.0,3234508.67092166,1501752.9916366593,4967264.350206659,560.0815650847493,6.975776349964781,4.477336814478207,1,A — Target first,1
13,"Wintrust Bank, National Association",IL,Chicago,Large / regional,9278.7,37.0,3171613.949451673,1471620.959681673,4871606.939221673,555.5170566596953,6.967487133290489,3.6375861597263857,1,A — Target first,1
14,Union Bank and Trust Company,NE,Lincoln,Large / regional,9188.6,37.0,3139926.4832714177,1456443.9132264175,4823409.053316417,553.1968039751771,6.963249346142204,3.6375861597263857,1,A — Target first,1
